,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region_Code
경기,수원시 영통구,0,0,0,0,0,4,1,2,2,4,0,3,0,0,1,1,1,5,4,1,0,1,2,41
경기,수원시 장안구,8,6,5,2,2,3,3,3,7,9,2,2,3,2,1,3,1,2,1,1,1,6,3,41
경기,수원시 팔달구,8,8,2,5,6,5,4,4,5,8,2,4,0,4,2,1,4,1,0,0,0,2,1,41
경기,시흥시,7,10,2,5,9,11,10,7,4,15,7,1,3,7,7,3,2,6,3,5,2,3,6,41
경기,안산시 단원구,5,6,3,4,5,5,12,4,5,1,1,3,4,5,7,0,3,2,8,1,0,5,4,41
경기,안산시 상록구,0,0,3,5,10,5,13,6,7,6,7,3,2,2,5,2,1,1,2,3,1,1,2,41
경기,안성시,0,1,1,2,3,0,4,2,0,2,0,0,0,1,1,0,0,2,1,0,0,1,1,41
경기,안양시 동안구,5,6,4,2,5,6,8,3,5,7,2,3,1,3,2,1,3,0,0,1,1,3,2,41
경기,안양시 만안구,10,5,0,4,5,5,4,2,2,1,2,0,2,2,4,4,1,5,3,2,0,1,2,41
경기,양주시,17,10,4,7,13,18,22,13,13,27,7,4,17,33,75,54,38,38,24,16,17,14,17,41
경기,양평군,6,5,2,0,2,0,1,2,3,1,1,0,3,0,0,3,2,2,1,0,0,2,1,41
경기,여주시,2,4,1,1,0,2,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,41
경기,연천군,243,141,94,62,83,100,158,76,113,110,70,19,11,6,4,9,8,9,11,8,7,6,27,41
경기,오산시,0,0,2,2,2,0,4,3,0,3,1,2,2,1,3,1,1,0,1,0,0,2,1,41
경기,용인시 기흥구,0,0,0,0,0,8,5,4,2,6,4,2,3,1,2,1,1,1,1,1,0,1,1,41
경기,용인시 수지구,0,0,0,0,0,3,3,0,0,4,1,3,3,0,2,4,1,1,0,3,2,0,1,41
경기,용인시 처인구,4,4,2,1,0,2,2,3,1,2,4,1,1,1,3,1,2,0,1,3,0,0,2,41
경기,의왕시,3,3,3,0,2,1,4,2,5,1,3,0,0,1,2,0,1,1,0,0,1,0,1,41
경기,의정부시,21,14,14,4,9,16,15,8,15,26,9,3,6,3,8,8,4,7,1,6,5,6,4,41
경기,이천시,1,0,1,1,1,2,3,2,1,4,2,0,0,0,1,2,1,2,1,0,1,2,2,41
경기,파주시,230,233,173,137,228,288,252,147,157,237,100,74,54,73,75,68,57,71,86,61,56,57,155,41
경기,평택시,5,1,2,2,2,5,5,4,3,4,3,3,3,3,2,3,6,2,2,1,2,6,3,41
경기,포천시,39,34,21,3,4,8,14,12,27,19,22,8,19,11,26,28,11,13,4,9,2,4,7,41
경기,하남시,6,3,2,1,1,5,9,2,3,3,1,0,1,1,2,2,5,3,1,2,1,2,1,41
경기,화성시,7,5,1,3,7,8,6,5,2,8,2,1,3,2,5,4,3,4,3,4,3,5,4,41
경기,부천시,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,14,6,10,14,5,7,5,14,41
강원,강릉시,9,4,2,2,4,6,4,5,2,2,1,1,2,3,0,3,2,0,1,0,2,0,0,51
강원,고성군,43,15,8,5,6,7,6,2,11,23,4,1,0,0,1,1,0,0,1,0,0,0,1,51
강원,동해시,2,2,0,1,2,5,1,1,0,4,0,0,1,0,2,0,0,0,0,1,0,0,0,51
강원,삼척시,3,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51
강원,속초시,1,2,0,0,1,0,4,2,0,4,0,0,1,0,0,0,0,1,1,1,0,0,0,51
강원,양구군,29,3,9,1,1,1,6,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,51
강원,양양군,0,1,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51
강원,영월군,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,51
강원,원주시,4,4,4,4,5,2,4,1,3,4,0,0,0,0,3,0,0,0,1,0,0,1,1,51
강원,인제군,36,17,3,2,1,5,3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,51
강원,정선군,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51
강원,철원군,308,104,49,37,47,71,67,62,104,114,63,4,18,11,9,15,5,5,8,9,5,10,19,51
강원,춘천시,19,18,13,2,5,7,7,9,0,7,2,3,2,0,3,3,2,2,3,1,1,3,3,51
강원,태백시,2,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51
강원,평창군,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,51
강원,홍천군,2,1,0,1,1,1,3,4,2,3,4,2,2,0,0,2,0,1,0,0,0,0,0,51
강원,화천군,80,39,40,5,3,13,12,13,22,19,17,1,1,0,1,3,0,1,0,0,0,0,2,51
강원,횡성군,5,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,51
충북,괴산군,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,43
충북,단양군,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
충북,보은군,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43
충북,영동군,2,0,0,0,2,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,43
충북,옥천군,2,1,1,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,43
충북,음성군,3,2,0,1,0,1,2,0,2,1,0,0,1,0,2,2,0,0,0,0,0,0,0,43
충북,제천시,3,2,0,0,2,0,2,1,2,4,0,2,1,2,0,0,0,0,0,1,0,0,0,43
충북,증평군,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,43
충북,진천군,1,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,43
충북,충주시,3,3,1,1,1,3,3,3,1,0,3,3,2,0,2,1,0,0,1,1,1,0,0,43
충북,청주시 상당구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,43
충북,청주시 흥덕구,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,2,0,43
충북,청주시 서원구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,43
충북,청주시 청원구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,43
충남,계룡시,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,44
충남,공주시,4,4,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,44
충남,금산군,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,44
충남,논산시,5,3,2,1,1,3,2,3,5,2,0,1,0,1,0,0,0,0,0,0,0,0,1,44
충남,당진시,1,0,0,0,2,6,1,1,3,1,0,1,0,2,2,1,2,0,0,0,1,1,0,44
충남,보령시,1,1,4,0,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,44
충남,부여군,3,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,44
충남,서산시,2,0,0,0,0,1,3,5,3,0,1,1,0,5,2,0,0,2,3,1,0,0,1,44
충남,서천군,1,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
충남,아산시,1,0,0,2,2,2,0,1,1,3,1,0,1,0,1,1,3,3,0,2,0,0,2,44
충남,예산군,1,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44
충남,청양군,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44
충남,태안군,3,0,0,0,0,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,44
충남,홍성군,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,1,0,0,0,1,44
충남,천안시 동남구,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,1,0,0,1,44
충남,천안시 서북구,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,4,2,1,1,1,44
전북,고창군,0,5,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52
전북,군산시,7,2,1,3,2,4,4,3,2,4,2,0,0,0,1,0,0,0,0,1,0,0,0,52
전북,김제시,2,2,1,0,4,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,52
전북,남원시,1,0,0,1,3,2,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,52
전북,무주군,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52
전북,부안군,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52
전북,순창군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
전북,완주군,0,1,1,3,1,2,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,52
전북,익산시,8,5,3,1,5,8,5,5,5,4,3,1,2,3,1,1,1,1,0,0,0,1,1,52
전북,임실군,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,52
전북,장수군,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
전북,전주시 덕진구,9,3,3,4,2,4,2,2,3,3,2,2,0,1,1,0,0,1,2,0,1,0,2,52
전북,전주시 완산구,8,3,1,2,4,4,4,1,3,5,4,0,0,4,2,1,0,0,0,1,0,0,1,52
전북,정읍시,2,4,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,52
전북,진안군,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
전남,강진군,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
전남,고흥군,2,0,1,1,1,1,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,46
전남,곡성군,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
전남,광양시,6,0,1,2,2,3,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,46
전남,구례군,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46
전남,나주시,2,1,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,46
전남,담양군,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,11,46
전남,목포시,0,2,5,3,4,3,4,3,5,3,0,0,0,0,0,0,0,1,0,1,1,2,0,46
전남,무안군,0,0,0,0,0,3,3,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,46
전남,보성군,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
전남,순천시,5,4,2,1,1,6,3,0,0,1,2,0,1,0,1,0,0,1,0,0,1,0,1,46
전남,신안군,1,0,0,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,46
전남,여수시,6,1,5,0,3,1,2,0,2,2,0,0,1,0,0,3,0,0,0,0,0,1,0,46
전남,영광군,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,46
전남,영암군,2,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46
전남,완도군,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
전남,장성군,1,3,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,46
전남,장흥군,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,46
전남,진도군,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
전남,함평군,0,1,0,0,1,0,0,0,0,0,5,1,2,0,1,0,0,0,0,0,0,0,0,46
전남,해남군,2,1,0,2,1,1,0,0,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,46
전남,화순군,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
경북,경산시,2,3,2,0,2,1,3,0,4,4,1,1,0,0,0,2,4,2,0,0,0,0,0,47
경북,경주시,8,3,2,1,0,2,3,3,5,0,2,0,0,0,0,2,0,0,2,1,1,0,2,47
경북,고령군,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47
경북,구미시,3,2,5,2,5,5,9,5,4,2,0,0,1,2,2,0,0,0,0,1,0,1,1,47
경북,김천시,2,2,1,0,3,1,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,47
경북,문경시,1,2,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,47
경북,봉화군,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47
경북,상주시,0,1,2,0,0,1,2,1,2,1,0,0,2,0,0,1,1,0,0,0,0,1,0,47
경북,성주군,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,47
경북,안동시,4,1,1,1,1,5,1,1,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,47
경북,영덕군,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,47
경북,영양군,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
경북,영주시,3,1,0,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
경북,영천시,6,2,0,1,3,2,1,0,1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,47
경북,예천군,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,47
경북,울릉군,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,47
경북,울진군,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47
경북,의성군,0,2,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,47
경북,청도군,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47
경북,청송군,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47
경북,칠곡군,2,3,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,47
경북,포항시 남구,4,4,3,3,5,5,7,3,2,1,4,0,2,1,2,0,1,0,0,0,0,2,0,47
경북,포항시 북구,3,1,1,3,1,3,3,2,4,2,0,1,1,2,0,1,4,0,1,0,0,1,1,47
경남,거제시,4,2,1,0,3,1,3,2,4,4,2,0,1,0,0,0,1,3,2,0,0,0,2,48
경남,거창군,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48
경남,고성군,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48
경남,김해시,7,2,0,3,4,2,7,3,6,3,3,3,0,1,1,3,1,2,2,1,0,1,1,48
경남,남해군,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
경남,밀양시,3,0,1,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,48
경남,사천시,2,0,0,1,3,2,2,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,48
경남,산청군,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
경남,양산시,6,2,1,0,1,1,4,1,1,4,0,0,1,0,0,1,0,1,1,0,0,1,0,48
경남,의령군,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,48
경남,진주시,9,6,1,2,3,9,5,2,1,2,1,0,3,2,0,0,0,2,0,1,0,0,1,48
경남,창녕군,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
경남,통영시,3,3,0,2,0,1,3,2,2,1,1,2,1,1,0,2,0,0,0,0,0,0,0,48
경남,하동군,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48
경남,함안군,2,1,0,1,0,1,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,48
경남,함양군,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48
경남,합천군,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
경남,창원시 마산합포구,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,48
경남,창원시 마산회원구,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,48
경남,창원시 성산구,0,0,0,0,0,0,0,0,0,0,3,4,0,2,1,1,1,1,0,1,0,0,0,48
